business_name,tier,channel,opportunity,gaps,dm_draft,status,notes,owner_name,phone,email,instagram,facebook,website,website_status,address,city,category,rating,reviews,google_maps_url,date_added,key
SLA Medical Spa,,Email,3,no Instagram; no ad tracking,Hi there! SLA Medical Spa stood out — 4.9★ across 358 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 303-362-0654,slathetician@gmail.com,,,http://www.slamedicalspa.com/,,"7108 S Alton Way Bldg L, Centennial, CO 80112",Centennial,Medical spa,4.9,358.0,"https://www.google.com/maps/place/SLA+Medical+Spa/@39.5871211,-104.8831448,14z/data=!4m8!1m2!2m1!1sSLA+Medical+Spa!3m4!1s0x876c8972f409188f:0xdc77b50ff3a67154!8m2!3d39.5871211!4d-104.8831448",2026-06-22,ChIJjxgJ9HKJbIcRVHGm8w-1d9w
Peak Med Spa,,DM,2,no ad tracking; few reviews,Hi there! Peak Med Spa stood out — 5★ across 37 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 303-484-8566,,https://www.instagram.com/peakskinwellnesscenter,https://www.facebook.com/PeakMedSpa,https://www.peakmedspa.com/,,"14100 E Arapahoe Rd Ste 211, 2nd Floor, Centennial, CO 80112",Centennial,Medical spa,5.0,37.0,"https://www.google.com/maps/place/Peak+Med+Spa/@39.5939394,-104.82472469999999,14z/data=!4m8!1m2!2m1!1sPeak+Med+Spa!3m4!1s0x876c8f4d0e1100f1:0xc42dcfcf223d00d1!8m2!3d39.5939394!4d-104.82472469999999",2026-06-22,ChIJ8QARDk2PbIcR0QA9Is_PLcQ
Aviva Med Spa,,DM,1,no ad tracking,Hi there! Aviva Med Spa stood out — 5★ across 230 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 720-734-5842,ellen@aviva-medical.com,https://www.instagram.com/avivamedical,http://www.facebook.com/avivamedicalcenter,https://aviva-medical.com/%3Futm_source%3DGMBlisting%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,,"8120 S Holly St Ste 212, Centennial, CO 80122",Centennial,Medical spa,5.0,230.0,"https://www.google.com/maps/place/Aviva+Med+Spa/@39.5700419,-104.9224153,14z/data=!4m8!1m2!2m1!1sAviva+Med+Spa!3m4!1s0x876c85cf6559a3ff:0x8885e66722c34cd0!8m2!3d39.5700419!4d-104.9224153",2026-06-22,ChIJ_6NZZc-FbIcR0EzDImfmhYg
Melt Medspa,,DM,2,no ad tracking; few reviews,Hi there! Melt Medspa stood out — 5★ across 17 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 720-450-4054,meltwaxboutique@gmail.com,https://instagram.com/meltcheyenne,,https://meltcheyenne.com/,,"8200 S Quebec St a14, Centennial, CO 80112",Centennial,Medical spa,5.0,17.0,"https://www.google.com/maps/place/Melt+Medspa/@39.5673818,-104.9025678,14z/data=!4m8!1m2!2m1!1sMelt+Medspa!3m4!1s0x876c857bd9139625:0xd005192a28a8e1e9!8m2!3d39.5673818!4d-104.9025678",2026-06-22,ChIJJZYT2XuFbIcR6eGoKCoZBdA
BLU Medical Aesthetics & Wellness,,Email,3,no Instagram; no ad tracking,Hi there! BLU Medical Aesthetics & Wellness stood out — 5★ across 224 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 303-720-5625,blumedaesthetics@gmail.com,,,http://blumedaesthetics.com/,,"8222 S Holly St, Centennial, CO 80122",Centennial,Medical spa,5.0,224.0,"https://www.google.com/maps/place/BLU+Medical+Aesthetics+%26+Wellness/@39.566859,-104.92061149999999,14z/data=!4m8!1m2!2m1!1sBLU+Medical+Aesthetics+%26+Wellness!3m4!1s0x876c8754c1126af9:0x55a5e943230a1cc4!8m2!3d39.566859!4d-104.92061149999999",2026-06-22,ChIJ-WoSwVSHbIcRxBwKI0PppVU
Royal MedSpa,,Email,4,no Instagram; no ad tracking; few reviews,Hi there! Royal MedSpa stood out — 5★ across 35 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 720-204-2291,royal@medspa4you.com,,,http://royal-medspa.com/,,"7500 E Arapahoe Rd #100, Centennial, CO 80112",Centennial,Medical spa,5.0,35.0,"https://www.google.com/maps/place/Royal+MedSpa/@39.5942988,-104.9013378,14z/data=!4m8!1m2!2m1!1sRoyal+MedSpa!3m4!1s0x876c87219a0160df:0x83759a0435b1db7f!8m2!3d39.5942988!4d-104.9013378",2026-06-22,ChIJ32ABmiGHbIcRf9uxNQSadYM
Refine Med Spa,,DM,2,no ad tracking; few reviews,Hi Meghan! Refine Med Spa stood out — 5★ across 41 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,Meghan Pesich (Aesthetician And Practice Director),+1 303-857-5373,mepesich@yahoo.com,https://www.instagram.com/refine_med_spa,,https://refinemedspa.com/%3Futm_campaign%3Dgmb,,"6690 S Broadway, Centennial, CO 80121",Centennial,Medical spa,5.0,41.0,"https://www.google.com/maps/place/Refine+Med+Spa/@39.5953422,-104.98793529999999,14z/data=!4m8!1m2!2m1!1sRefine+Med+Spa!3m4!1s0x876c815610a2b509:0x8ac33e377b3223fd!8m2!3d39.5953422!4d-104.98793529999999",2026-06-22,ChIJCbWiEFaBbIcR_SMyezc-w4o
The Treatment Room Medical Aesthetics,,DM,0,,Hi there! The Treatment Room Medical Aesthetics stood out — 5★ across 73 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 720-610-3209,amanda@thetreatmentroomma.com,https://www.instagram.com/thetreatmentroomma,,https://www.thetreatmentroomma.com/,,"7009 S Potomac St #102, Centennial, CO 80112",Centennial,Medical spa,5.0,73.0,"https://www.google.com/maps/place/The+Treatment+Room+Medical+Aesthetics/@39.5891066,-104.8324064,14z/data=!4m8!1m2!2m1!1sThe+Treatment+Room+Medical+Aesthetics!3m4!1s0x876c85d0acdc0c4d:0x4f0aa87bbfcebae3!8m2!3d39.5891066!4d-104.8324064",2026-06-22,ChIJTQzcrNCFbIcR47rOv3uoCk8
NATIV Aesthetics Co & Head Spa,,DM,0,,Hi there! NATIV Aesthetics Co & Head Spa stood out — 5★ across 66 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 970-792-9230,matt@pixelspread.com,https://www.instagram.com/nativspa,,https://nativspa.com/home,,"7936 E Arapahoe Ct Ste 2800, Centennial, CO 80112",Centennial,Medical spa,5.0,66.0,"https://www.google.com/maps/place/NATIV+Aesthetics+Co+%26+Head+Spa/@39.593660199999995,-104.8970695,14z/data=!4m8!1m2!2m1!1sNATIV+Aesthetics+Co+%26+Head+Spa!3m4!1s0x876953489646bdf3:0x436e57f7dfaaa068!8m2!3d39.593660199999995!4d-104.8970695",2026-06-22,ChIJ871GlkhTaYcRaKCq3_dXbkM
Pure Beauty Med Spa,,DM,2,no ad tracking; few reviews,Hi there! Pure Beauty Med Spa stood out — 5★ across 16 reviews is no accident. I help medical spas turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 720-990-4090,,https://www.instagram.com/everblush_beauty,https://www.facebook.com/Everblush_Beauty-100889859189054,https://www.thepurebeautymedspa.com/,,"6851 S Holly Cir Ste 250, Centennial, CO 80112",Centennial,Medical spa,5.0,16.0,"https://www.google.com/maps/place/Pure+Beauty+Med+Spa/@39.5922176,-104.922097,14z/data=!4m8!1m2!2m1!1sPure+Beauty+Med+Spa!3m4!1s0x876c878d13bddc25:0x7415fb5d5951a6b8!8m2!3d39.5922176!4d-104.922097",2026-06-22,ChIJJdy9E42HbIcRuKZRWV37FXQ
