business_name,tier,channel,opportunity,gaps,dm_draft,status,notes,owner_name,phone,email,instagram,facebook,website,website_status,address,city,category,rating,reviews,google_maps_url,date_added,key
Haley Custom Homes,C,DM,2,no ad tracking; few reviews,Hi Dan! Haley Custom Homes stood out — 5★ across 31 reviews is no accident. I help custom home builders turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,"Dan Fuller (Owner, Haley Custom Homes)",+1 303-601-9446,dan@fullercustomhome.com,https://www.instagram.com/haleycustomhomes,,https://haleycustomhomes.com/%3Futm_source%3DGMBlisting%26utm_medium%3Dorganic,real,"7555 E Hampden Ave #320, Denver, CO 80231",Denver,Custom home builder,5.0,31.0,"https://www.google.com/maps/place/Haley+Custom+Homes/@39.6545421,-104.90190179999999,14z/data=!4m8!1m2!2m1!1sHaley+Custom+Homes!3m4!1s0x876c86e490c6699f:0x8ff204b9883481fe!8m2!3d39.6545421!4d-104.90190179999999",2026-08-06,ChIJn2nGkOSGbIcR_oE0iLkE8o8
HomeWrights LLC,D,DM,2,no ad tracking; few reviews,Hi Mary! HomeWrights LLC stood out — 4.6★ across 26 reviews is no accident. I help custom home builders turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,Mary Knowles (Graphic Designer),+1 303-756-8870,mknowles@homewrights.com,https://www.instagram.com/homewrightscustomhomes,https://www.facebook.com/HomeWrights,https://www.homewrights.com/,real,"4800 Happy Canyon Rd Ste 130, Denver, CO 80237",Denver,Custom home builder,4.6,26.0,"https://www.google.com/maps/place/HomeWrights+LLC/@39.6523208,-104.93132059999999,14z/data=!4m8!1m2!2m1!1sHomeWrights+LLC!3m4!1s0x876c874e5ed898dd:0x71548d3cb182d23a!8m2!3d39.6523208!4d-104.93132059999999",2026-08-06,ChIJ3ZjYXk6HbIcROtKCsTyNVHE
Jacob Custom Homes LLC,C,DM,1,no ad tracking,Hi there! Jacob Custom Homes LLC stood out — 5★ across 124 reviews is no accident. I help custom home builders turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 303-601-9175,sales@jacobcustomhomes.com,https://www.instagram.com/jacob_custom_homes_llc,https://www.facebook.com/Jacob-Custom-Homes-LLC-100246515197566,http://www.jacobcustomhomes.com/,real,"5690 W Coal Mine Ave, Littleton, CO 80123",Littleton,Custom home builder,5.0,124.0,"https://www.google.com/maps/place/Jacob+Custom+Homes+LLC/@39.5948437,-105.0593474,14z/data=!4m8!1m2!2m1!1sJacob+Custom+Homes+LLC!3m4!1s0x876b7f60e01474fb:0x8b31e08dbdf5a76d!8m2!3d39.5948437!4d-105.0593474",2026-08-06,ChIJ-3QU4GB_a4cRbaf1vY3gMYs
Chase Custom Homes,D,DM,4,no Instagram; no ad tracking; few reviews,Hi Spencer! I came across Chase Custom Homes in Denver and loved what you're doing. I help custom home builders get found by more local customers on Google — mind if I share a quick idea here?,,,Spencer Chase,+1 303-945-1964,s.chase@denvercustomhomebuilder.com,,https://www.facebook.com/Chase-Custom-Homes-143237362410688,http://denvercustomhomebuilder.com/,real,"2717 E Louisiana Ave, Denver, CO 80210",Denver,Custom home builder,1.0,1.0,"https://www.google.com/maps/place/Chase+Custom+Homes/@39.693104,-104.95416499999999,14z/data=!4m8!1m2!2m1!1sChase+Custom+Homes!3m4!1s0x876c7e6605bf6c97:0xb978f33742912a83!8m2!3d39.693104!4d-104.95416499999999",2026-08-06,ChIJl2y_BWZ-bIcRgyqRQjfzeLk
Wall Custom Homes,D,DM,2,no ad tracking; few reviews,Hi Jason! I came across Wall Custom Homes in Centennial and loved what you're doing. I help home builders get found by more local customers on Google — mind if I share a quick idea here?,,,Jason Moore (Purchashing Agent),+1 303-792-3001,jmoore@ufpi.com,http://instagram.com/wallcustomhomes,https://facebook.com/about,http://www.wallcustomhomes.com/,real,"12835 E Arapahoe Rd Tower 1, Suite 120, Centennial, CO 80112",Centennial,Home builder,5.0,1.0,"https://www.google.com/maps/place/Wall+Custom+Homes/@39.596213399999996,-104.8398721,14z/data=!4m8!1m2!2m1!1sWall+Custom+Homes!3m4!1s0x876c85f000000001:0xb10adc397f4a5b91!8m2!3d39.596213399999996!4d-104.8398721",2026-08-06,ChIJAQAAAPCFbIcRkVtKfzncCrE
Sattler Homes,D,DM,2,no ad tracking; few reviews,Hi there! Sattler Homes stood out — 5★ across 13 reviews is no accident. I help home builders turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,,+1 303-771-5995,info@sattlercolorado.com,https://www.instagram.com/thomassattlerhomes,https://www.facebook.com/thomassattlerhomes,http://www.thomassattlerhomes.com/,real,"3535 S Platte River Dr G, Englewood, CO 80110",Englewood,Home builder,5.0,13.0,"https://www.google.com/maps/place/Sattler+Homes/@39.6532,-105.01122459999999,14z/data=!4m8!1m2!2m1!1sSattler+Homes!3m4!1s0x876c7fa9339a53f5:0x2d3703cc89facb37!8m2!3d39.6532!4d-105.01122459999999",2026-08-06,ChIJ9VOaM6l_bIcRN8v6icwDNy0
Camerata Homes,D,DM,3,no Instagram; few reviews,Hi Kim! Camerata Homes stood out — 4.9★ across 14 reviews is no accident. I help custom home builders turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,Kim Mccarthy (Office Manager),+1 720-802-0396,kjwilson1027@hotmail.com,,https://www.facebook.com/Camerata-Homes-156117114428508,http://cameratahomes.com/,real,"7091 S Sedalia St, Foxfield, CO 80016",Foxfield,Custom home builder,4.9,14.0,"https://www.google.com/maps/place/Camerata+Homes/@39.588259699999995,-104.784307,14z/data=!4m8!1m2!2m1!1sCamerata+Homes!3m4!1s0x876c8ec4811a548d:0x59874c2c456c05f4!8m2!3d39.588259699999995!4d-104.784307",2026-08-06,ChIJjVQagcSObIcR9AVsRSxMh1k
Sheffield Homes,C,DM,0,,Hi Edwin! Sheffield Homes stood out — 4.7★ across 111 reviews is no accident. I help custom home builders turn that reputation into more booked appointments without leaning harder on ads — mind if I share a quick idea here?,,,Edwin M Hopp (Administration; Legal),+1 303-420-0056,ehopp@sheffieldhomes.com,https://www.instagram.com/sheffieldhomes,https://www.facebook.com/sheffieldhomesllc,https://sheffieldhomes.com/,real,"6777 Wadsworth Blvd #301, Arvada, CO 80003",Arvada,Custom home builder,4.7,111.0,"https://www.google.com/maps/place/Sheffield+Homes/@39.819068699999995,-105.08172599999999,14z/data=!4m8!1m2!2m1!1sSheffield+Homes!3m4!1s0x876b8889ab85b3f3:0xb8207f0b1d372a08!8m2!3d39.819068699999995!4d-105.08172599999999",2026-08-06,ChIJ87OFq4mIa4cRCCo3HQt_ILg
Thrive Home Builders,C,DM,1,no ad tracking,Hi Bill! I came across Thrive Home Builders in Denver and loved what you're doing. I help construction companys get found by more local customers on Google — mind if I share a quick idea here?,,,Bill Rectanus (Vice President Of Homebuilding Operations),+1 303-707-4400,bill.rectanus@yahoo.com,https://instagram.com/thrivehomebuilders,http://www.facebook.com/thrivehomebuilders,https://www.thrivehomebuilders.com/,real,"1200 17th St #660, Denver, CO 80202",Denver,Construction company,4.0,64.0,"https://www.google.com/maps/place/Thrive+Home+Builders/@39.7492101,-104.99590959999999,14z/data=!4m8!1m2!2m1!1sThrive+Home+Builders!3m4!1s0x876c78eac562cfaf:0x2beb43d04ff475a7!8m2!3d39.7492101!4d-104.99590959999999",2026-08-06,ChIJr89ixep4bIcRp3X0T9BD6ys
Meraki Builders,D,Email,4,no Instagram; no ad tracking; few reviews,Hi there! I came across Meraki Builders in Denver and loved what you're doing. I help construction companys get found by more local customers on Google — mind if I share a quick idea here?,,,,+1 720-234-9303,chuyhernandez@merakibuildersco.com,,,https://merakibuildersco.com/,real,"1600 Glenarm Pl, Denver, CO 80202",Denver,Construction company,5.0,3.0,"https://www.google.com/maps/place/Meraki+Builders/@39.7440454,-104.9899713,14z/data=!4m8!1m2!2m1!1sMeraki+Builders!3m4!1s0x876c795ffdac8535:0xd49c146b6fd39864!8m2!3d39.7440454!4d-104.9899713",2026-08-06,ChIJNYWs_V95bIcRZJjTb2sUnNQ
